,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Player,Move
0,0,0,0,0,0,0,0,0,0,1,4
1,0,0,0,0,1,0,0,0,0,2,5
2,0,0,0,0,1,2,0,0,0,1,0
3,1,0,0,0,1,2,0,0,0,2,8
4,1,0,0,0,1,2,0,0,2,1,1
5,1,1,0,0,1,2,0,0,2,2,2
6,0,0,0,0,0,0,0,0,0,1,0
7,1,0,0,0,0,0,0,0,0,2,8
8,1,0,0,0,0,0,0,0,2,1,1
9,1,1,0,0,0,0,0,0,2,2,2
10,1,1,2,0,0,0,0,0,2,1,3
11,1,1,2,1,0,0,0,0,2,2,7
12,1,1,2,1,0,0,0,2,2,1,4
13,1,1,2,1,1,0,0,2,2,2,6
14,0,0,0,0,0,0,0,0,0,1,0
15,1,0,0,0,0,0,0,0,0,2,2
16,1,0,2,0,0,0,0,0,0,1,4
17,1,0,2,0,1,0,0,0,0,2,7
18,1,0,2,0,1,0,0,2,0,1,3
19,1,0,2,1,1,0,0,2,0,2,6
20,1,0,2,1,1,0,2,2,0,1,5
21,0,0,0,0,0,0,0,0,0,1,4
22,0,0,0,0,1,0,0,0,0,2,6
23,0,0,0,0,1,0,2,0,0,1,0
24,1,0,0,0,1,0,2,0,0,2,8
25,1,0,0,0,1,0,2,0,2,1,1
26,1,1,0,0,1,0,2,0,2,2,2
27,1,1,2,0,1,0,2,0,2,1,7
28,0,0,0,0,0,0,0,0,0,1,4
29,0,0,0,0,1,0,0,0,0,2,0
30,2,0,0,0,1,0,0,0,0,1,3
31,2,0,0,1,1,0,0,0,0,2,5
32,2,0,0,1,1,2,0,0,0,1,1
33,2,1,0,1,1,2,0,0,0,2,6
34,2,1,0,1,1,2,2,0,0,1,7
35,0,0,0,0,0,0,0,0,0,1,4
36,0,0,0,0,1,0,0,0,0,2,1
37,0,2,0,0,1,0,0,0,0,1,0
38,1,2,0,0,1,0,0,0,0,2,3
39,1,2,0,2,1,0,0,0,0,1,8
40,0,0,0,0,0,0,0,0,0,1,0
41,1,0,0,0,0,0,0,0,0,2,4
42,1,0,0,0,2,0,0,0,0,1,6
43,1,0,0,0,2,0,1,0,0,2,3
44,1,0,0,2,2,0,1,0,0,1,1
45,1,1,0,2,2,0,1,0,0,2,2
46,1,1,2,2,2,0,1,0,0,1,5
47,1,1,2,2,2,1,1,0,0,2,7
48,1,1,2,2,2,1,1,2,0,1,8
49,0,0,0,0,0,0,0,0,0,1,0
50,1,0,0,0,0,0,0,0,0,2,2
51,1,0,2,0,0,0,0,0,0,1,4
52,1,0,2,0,1,0,0,0,0,2,1
53,1,2,2,0,1,0,0,0,0,1,8
54,0,0,0,0,0,0,0,0,0,1,0
55,1,0,0,0,0,0,0,0,0,2,3
56,1,0,0,2,0,0,0,0,0,1,4
57,1,0,0,2,1,0,0,0,0,2,8
58,1,0,0,2,1,0,0,0,2,1,2
59,1,0,1,2,1,0,0,0,2,2,6
60,1,0,1,2,1,0,2,0,2,1,1
61,0,0,0,0,0,0,0,0,0,1,0
62,1,0,0,0,0,0,0,0,0,2,4
63,1,0,0,0,2,0,0,0,0,1,6
64,1,0,0,0,2,0,1,0,0,2,2
65,1,0,2,0,2,0,1,0,0,1,3
66,0,0,0,0,0,0,0,0,0,1,0
67,1,0,0,0,0,0,0,0,0,2,3
68,1,0,0,2,0,0,0,0,0,1,4
69,1,0,0,2,1,0,0,0,0,2,8
70,1,0,0,2,1,0,0,0,2,1,1
71,1,1,0,2,1,0,0,0,2,2,7
72,1,1,0,2,1,0,0,2,2,1,2
73,0,0,0,0,0,0,0,0,0,1,0
74,1,0,0,0,0,0,0,0,0,2,6
75,1,0,0,0,0,0,2,0,0,1,4
76,1,0,0,0,1,0,2,0,0,2,2
77,1,0,2,0,1,0,2,0,0,1,3
78,1,0,2,1,1,0,2,0,0,2,1
79,1,2,2,1,1,0,2,0,0,1,7
80,1,2,2,1,1,0,2,1,0,2,5
81,1,2,2,1,1,2,2,1,0,1,8
82,0,0,0,0,0,0,0,0,0,1,0
83,1,0,0,0,0,0,0,0,0,2,4
84,1,0,0,0,2,0,0,0,0,1,6
85,1,0,0,0,2,0,1,0,0,2,3
86,1,0,0,2,2,0,1,0,0,1,1
87,1,1,0,2,2,0,1,0,0,2,5
88,0,0,0,0,0,0,0,0,0,1,0
89,1,0,0,0,0,0,0,0,0,2,4
90,1,0,0,0,2,0,0,0,0,1,6
91,1,0,0,0,2,0,1,0,0,2,8
92,1,0,0,0,2,0,1,0,2,1,3
93,0,0,0,0,0,0,0,0,0,1,0
94,1,0,0,0,0,0,0,0,0,2,1
95,1,2,0,0,0,0,0,0,0,1,4
96,1,2,0,0,1,0,0,0,0,2,6
