,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Player,Move
0,0,0,0,0,0,0,0,0,0,1,4
1,0,0,0,0,1,0,0,0,0,2,0
2,2,0,0,0,1,0,0,0,0,1,1
3,2,1,0,0,1,0,0,0,0,2,7
4,2,1,0,0,1,0,0,2,0,1,3
5,2,1,0,1,1,0,0,2,0,2,5
6,2,1,0,1,1,2,0,2,0,1,6
7,2,1,0,1,1,2,1,2,0,2,2
8,2,1,2,1,1,2,1,2,0,1,8
9,0,0,0,0,0,0,0,0,0,1,4
10,0,0,0,0,1,0,0,0,0,2,0
11,2,0,0,0,1,0,0,0,0,1,3
12,2,0,0,1,1,0,0,0,0,2,5
13,2,0,0,1,1,2,0,0,0,1,1
14,2,1,0,1,1,2,0,0,0,2,7
15,2,1,0,1,1,2,0,2,0,1,2
16,2,1,1,1,1,2,0,2,0,2,6
17,2,1,1,1,1,2,2,2,0,1,8
18,0,0,0,0,0,0,0,0,0,1,0
19,1,0,0,0,0,0,0,0,0,2,4
20,1,0,0,0,2,0,0,0,0,1,2
21,1,0,1,0,2,0,0,0,0,2,1
22,1,2,1,0,2,0,0,0,0,1,3
23,1,2,1,1,2,0,0,0,0,2,6
24,1,2,1,1,2,0,2,0,0,1,7
25,1,2,1,1,2,0,2,1,0,2,5
26,1,2,1,1,2,2,2,1,0,1,8
27,0,0,0,0,0,0,0,0,0,1,4
28,0,0,0,0,1,0,0,0,0,2,0
29,2,0,0,0,1,0,0,0,0,1,3
30,2,0,0,1,1,0,0,0,0,2,5
31,2,0,0,1,1,2,0,0,0,1,2
32,2,0,1,1,1,2,0,0,0,2,6
33,2,0,1,1,1,2,2,0,0,1,1
34,2,1,1,1,1,2,2,0,0,2,7
35,2,1,1,1,1,2,2,2,0,1,8
36,0,0,0,0,0,0,0,0,0,1,0
37,1,0,0,0,0,0,0,0,0,2,4
38,1,0,0,0,2,0,0,0,0,1,6
39,1,0,0,0,2,0,1,0,0,2,3
40,1,0,0,2,2,0,1,0,0,1,1
41,1,1,0,2,2,0,1,0,0,2,2
42,1,1,2,2,2,0,1,0,0,1,5
43,1,1,2,2,2,1,1,0,0,2,7
44,1,1,2,2,2,1,1,2,0,1,8
45,0,0,0,0,0,0,0,0,0,1,0
46,1,0,0,0,0,0,0,0,0,2,4
47,1,0,0,0,2,0,0,0,0,1,2
48,1,0,1,0,2,0,0,0,0,2,1
