,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
0,0,0,0,0,0,0,0,0,0,3
1,0,0,0,1,0,0,0,0,0,4
2,0,0,0,1,2,0,0,0,0,1
3,0,1,0,1,2,0,0,0,0,0
4,2,1,0,1,2,0,0,0,0,8
5,2,1,0,1,2,0,0,0,1,6
6,2,1,0,1,2,0,2,0,1,2
7,2,1,1,1,2,0,2,0,1,5
8,2,1,1,1,2,2,2,0,1,7
9,0,0,0,0,0,0,0,0,0,1
10,0,1,0,0,0,0,0,0,0,4
11,0,1,0,0,2,0,0,0,0,0
12,1,1,0,0,2,0,0,0,0,2
13,1,1,2,0,2,0,0,0,0,6
14,1,1,2,0,2,0,1,0,0,3
15,1,1,2,2,2,0,1,0,0,5
16,1,1,2,2,2,1,1,0,0,8
17,1,1,2,2,2,1,1,0,2,7
18,0,0,0,0,0,0,0,0,0,4
19,0,0,0,0,1,0,0,0,0,0
20,2,0,0,0,1,0,0,0,0,2
21,2,0,1,0,1,0,0,0,0,6
22,2,0,1,0,1,0,2,0,0,3
23,2,0,1,1,1,0,2,0,0,5
24,2,0,1,1,1,2,2,0,0,7
25,2,0,1,1,1,2,2,1,0,1
26,2,2,1,1,1,2,2,1,0,8
27,0,0,0,0,0,0,0,0,0,3
28,0,0,0,1,0,0,0,0,0,0
29,2,0,0,1,0,0,0,0,0,4
30,2,0,0,1,1,0,0,0,0,5
31,2,0,0,1,1,2,0,0,0,1
32,2,1,0,1,1,2,0,0,0,7
33,2,1,0,1,1,2,0,2,0,6
34,2,1,0,1,1,2,1,2,0,2
35,2,1,2,1,1,2,1,2,0,8
36,0,0,0,0,0,0,0,0,0,4
37,0,0,0,0,1,0,0,0,0,0
38,2,0,0,0,1,0,0,0,0,6
39,2,0,0,0,1,0,1,0,0,2
40,2,0,2,0,1,0,1,0,0,1
41,2,1,2,0,1,0,1,0,0,7
42,2,1,2,0,1,0,1,2,0,5
43,2,1,2,0,1,1,1,2,0,3
44,2,1,2,2,1,1,1,2,0,8
45,0,0,0,0,0,0,0,0,0,4
46,0,0,0,0,1,0,0,0,0,0
47,2,0,0,0,1,0,0,0,0,3
48,2,0,0,1,1,0,0,0,0,5
49,2,0,0,1,1,2,0,0,0,2
50,2,0,1,1,1,2,0,0,0,6
51,2,0,1,1,1,2,2,0,0,1
52,2,1,1,1,1,2,2,0,0,7
53,2,1,1,1,1,2,2,2,0,8
54,0,0,0,0,0,0,0,0,0,0
55,1,0,0,0,0,0,0,0,0,4
56,1,0,0,0,2,0,0,0,0,6
57,1,0,0,0,2,0,1,0,0,3
58,1,0,0,2,2,0,1,0,0,5
59,1,0,0,2,2,1,1,0,0,7
60,1,0,0,2,2,1,1,2,0,1
61,1,1,0,2,2,1,1,2,0,2
62,1,1,2,2,2,1,1,2,0,8
63,0,0,0,0,0,0,0,0,0,0
64,1,0,0,0,0,0,0,0,0,4
65,1,0,0,0,2,0,0,0,0,2
66,1,0,1,0,2,0,0,0,0,1
67,1,2,1,0,2,0,0,0,0,7
68,1,2,1,0,2,0,0,1,0,5
69,1,2,1,0,2,2,0,1,0,3
70,1,2,1,1,2,2,0,1,0,6
71,1,2,1,1,2,2,2,1,0,8
72,0,0,0,0,0,0,0,0,0,4
73,0,0,0,0,1,0,0,0,0,0
74,2,0,0,0,1,0,0,0,0,3
75,2,0,0,1,1,0,0,0,0,5
76,2,0,0,1,1,2,0,0,0,2
77,2,0,1,1,1,2,0,0,0,6
78,2,0,1,1,1,2,2,0,0,1
79,2,1,1,1,1,2,2,0,0,7
80,2,1,1,1,1,2,2,2,0,8
81,0,0,0,0,0,0,0,0,0,4
82,0,0,0,0,1,0,0,0,0,0
83,2,0,0,0,1,0,0,0,0,2
84,2,0,1,0,1,0,0,0,0,6
85,2,0,1,0,1,0,2,0,0,3
86,2,0,1,1,1,0,2,0,0,5
87,2,0,1,1,1,2,2,0,0,7
88,2,0,1,1,1,2,2,1,0,1
89,2,2,1,1,1,2,2,1,0,8
90,0,0,0,0,0,0,0,0,0,4
91,0,0,0,0,1,0,0,0,0,0
92,2,0,0,0,1,0,0,0,0,1
93,2,1,0,0,1,0,0,0,0,6
94,2,1,0,0,1,0,2,0,0,3
95,2,1,0,1,1,0,2,0,0,5
96,2,1,0,1,1,2,2,0,0,7
97,0,0,0,0,0,0,0,0,0,4
98,0,0,0,0,1,0,0,0,0,0
99,2,0,0,0,1,0,0,0,0,6
100,2,0,0,0,1,0,1,0,0,2
101,2,0,2,0,1,0,1,0,0,1
102,2,1,2,0,1,0,1,0,0,7
103,2,1,2,0,1,0,1,2,0,3
104,2,1,2,1,1,0,1,2,0,5
105,2,1,2,1,1,2,1,2,0,8
106,0,0,0,0,0,0,0,0,0,4
107,0,0,0,0,1,0,0,0,0,0
108,2,0,0,0,1,0,0,0,0,3
109,2,0,0,1,1,0,0,0,0,5
110,2,0,0,1,1,2,0,0,0,2
111,2,0,1,1,1,2,0,0,0,6
112,2,0,1,1,1,2,2,0,0,1
113,2,1,1,1,1,2,2,0,0,7
114,2,1,1,1,1,2,2,2,0,8
115,0,0,0,0,0,0,0,0,0,4
116,0,0,0,0,1,0,0,0,0,0
117,2,0,0,0,1,0,0,0,0,2
118,2,0,1,0,1,0,0,0,0,6
119,2,0,1,0,1,0,2,0,0,3
120,2,0,1,1,1,0,2,0,0,5
121,2,0,1,1,1,2,2,0,0,1
122,2,1,1,1,1,2,2,0,0,7
123,2,1,1,1,1,2,2,2,0,8
124,0,0,0,0,0,0,0,0,0,0
125,1,0,0,0,0,0,0,0,0,4
126,1,0,0,0,2,0,0,0,0,3
127,1,0,0,1,2,0,0,0,0,6
128,1,0,0,1,2,0,2,0,0,2
129,1,0,1,1,2,0,2,0,0,1
130,1,2,1,1,2,0,2,0,0,7
131,1,2,1,1,2,0,2,1,0,5
132,1,2,1,1,2,2,2,1,0,8
133,0,0,0,0,0,0,0,0,0,3
134,0,0,0,1,0,0,0,0,0,4
135,0,0,0,1,2,0,0,0,0,0
136,1,0,0,1,2,0,0,0,0,6
137,1,0,0,1,2,0,2,0,0,2
138,1,0,1,1,2,0,2,0,0,1
