,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
0,0,0,0,0,0,0,0,0,0,6
1,0,0,0,0,0,0,1,0,0,4
2,0,0,0,0,2,0,1,0,0,0
3,1,0,0,0,2,0,1,0,0,3
4,1,0,0,2,2,0,1,0,0,1
5,1,1,0,2,2,0,1,0,0,2
6,1,1,2,2,2,0,1,0,0,5
7,1,1,2,2,2,1,1,0,0,8
8,1,1,2,2,2,1,1,0,2,7
9,0,0,0,0,0,0,0,0,0,6
10,0,0,0,0,0,0,1,0,0,0
11,2,0,0,0,0,0,1,0,0,4
12,2,0,0,0,1,0,1,0,0,2
13,2,0,2,0,1,0,1,0,0,1
14,2,1,2,0,1,0,1,0,0,7
15,2,1,2,0,1,0,1,2,0,3
16,2,1,2,1,1,0,1,2,0,5
17,2,1,2,1,1,2,1,2,0,8
18,0,0,0,0,0,0,0,0,0,2
19,0,0,1,0,0,0,0,0,0,4
20,0,0,1,0,2,0,0,0,0,3
21,0,0,1,1,2,0,0,0,0,0
22,2,0,1,1,2,0,0,0,0,8
23,2,0,1,1,2,0,0,0,1,7
24,2,0,1,1,2,0,0,2,1,1
25,2,1,1,1,2,0,0,2,1,5
26,2,1,1,1,2,2,0,2,1,6
27,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,4
29,1,0,0,0,2,0,0,0,0,6
30,1,0,0,0,2,0,1,0,0,3
31,1,0,0,2,2,0,1,0,0,1
32,1,1,0,2,2,0,1,0,0,2
33,1,1,2,2,2,0,1,0,0,5
34,1,1,2,2,2,1,1,0,0,7
35,1,1,2,2,2,1,1,2,0,8
36,0,0,0,0,0,0,0,0,0,4
37,0,0,0,0,1,0,0,0,0,0
38,2,0,0,0,1,0,0,0,0,3
39,2,0,0,1,1,0,0,0,0,1
40,2,2,0,1,1,0,0,0,0,2
41,2,2,1,1,1,0,0,0,0,6
42,2,2,1,1,1,0,2,0,0,5
43,0,0,0,0,0,0,0,0,0,2
44,0,0,1,0,0,0,0,0,0,4
45,0,0,1,0,2,0,0,0,0,8
46,0,0,1,0,2,0,0,0,1,1
47,0,2,1,0,2,0,0,0,1,7
48,0,2,1,0,2,0,0,1,1,5
49,0,2,1,0,2,2,0,1,1,3
50,0,2,1,1,2,2,0,1,1,6
