,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,1,0,0,0,0,0
2,2,0,0,0,1,0,0,0,0,1
3,2,1,0,0,1,0,0,0,0,7
4,2,1,0,0,1,0,0,2,0,6
5,2,1,0,0,1,0,1,2,0,2
6,2,1,2,0,1,0,1,2,0,5
7,2,1,2,0,1,1,1,2,0,3
8,2,1,2,2,1,1,1,2,0,8
9,0,0,0,0,0,0,0,0,0,4
10,0,0,0,0,1,0,0,0,0,0
11,2,0,0,0,1,0,0,0,0,1
12,2,1,0,0,1,0,0,0,0,7
13,2,1,0,0,1,0,0,2,0,6
14,2,1,0,0,1,0,1,2,0,2
15,2,1,2,0,1,0,1,2,0,3
16,2,1,2,1,1,0,1,2,0,5
17,2,1,2,1,1,2,1,2,0,8
18,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,4
20,1,0,0,0,2,0,0,0,0,6
21,1,0,0,0,2,0,1,0,0,3
22,1,0,0,2,2,0,1,0,0,1
23,1,1,0,2,2,0,1,0,0,2
24,1,1,2,2,2,0,1,0,0,5
25,1,1,2,2,2,1,1,0,0,8
26,1,1,2,2,2,1,1,0,2,7
27,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,4
29,1,0,0,0,2,0,0,0,0,2
30,1,0,1,0,2,0,0,0,0,1
31,1,2,1,0,2,0,0,0,0,3
32,1,2,1,1,2,0,0,0,0,6
33,1,2,1,1,2,0,2,0,0,7
34,1,2,1,1,2,0,2,1,0,5
35,1,2,1,1,2,2,2,1,0,8
36,0,0,0,0,0,0,0,0,0,0
37,1,0,0,0,0,0,0,0,0,4
38,1,0,0,0,2,0,0,0,0,2
39,1,0,1,0,2,0,0,0,0,1
40,1,2,1,0,2,0,0,0,0,3
41,1,2,1,1,2,0,0,0,0,6
42,1,2,1,1,2,0,2,0,0,7
43,1,2,1,1,2,0,2,1,0,5
44,1,2,1,1,2,2,2,1,0,8
45,0,0,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,4
